grade confidence_level parsing_issue_occurred
Wrong 0.9796562790870667 0
Correct 0.9999517798423767 0
Correct 0.9999988079071045 0
Correct 1.0 0
Wrong 0.9999980330467224 0
Correct 0.9918659329414368 0
Correct 0.9999985098838806 0
Correct 1.0 0
Wrong 1.0 0
Wrong 0.9998589158058167 0
Wrong 0.9999979734420776 0
Correct 0.999991238117218 0
Correct 0.9989386200904846 0
Wrong 1.0 0
Wrong 0.9449573159217834 0
Wrong 0.9999997615814209 0
Correct 0.9999997615814209 0
Wrong 0.8982965350151062 1
Correct 1.0 0
Correct 0.9438779950141907 0
Correct 0.9999999403953552 0
Wrong 0.997491717338562 0
Correct 0.9890087842941284 0
Wrong 0.9941535592079163 0
Wrong 0.8872035145759583 0
Wrong 0.9999940395355225 0
Wrong 0.7490795254707336 0
Correct 0.9999980926513672 0
Correct 0.9973667860031128 0
Correct 0.9999990463256836 0
Correct 0.8490915894508362 0
Correct 0.7033553123474121 3
Wrong 0.9999971389770508 0
Wrong 0.9999998211860657 0
Correct 0.9999241232872009 0
Correct 0.9993252158164978 0
Wrong 0.9999999403953552 0
Wrong 0.5751886367797852 0
Correct 0.9958093166351318 0
Correct 0.9999993443489075 0
Correct 0.9999597668647766 0
Correct 0.999976396560669 0
Correct 0.9997069835662842 0
Wrong 0.9999999403953552 0
Correct 0.9999964833259583 0
Correct 0.9999204277992249 0
Correct 0.9999977350234985 0
Correct 0.9985970258712769 0
Wrong 0.9999971389770508 0
Wrong 0.9991769194602966 0
Correct 0.9978541135787964 0
Correct 0.9999997615814209 0
Correct 0.9999999403953552 0
Correct 0.9995965957641602 0
Correct 1.0 0
Correct 0.9999951124191284 0
Correct 0.9999999403953552 0
Correct 0.9999995827674866 0
Correct 0.9999998211860657 0
Correct 0.9999998211860657 0
Wrong 0.9999861717224121 0
Correct 0.9999803304672241 0
Correct 0.9999984502792358 0
Correct 0.9999924302101135 0
Wrong 0.9999998807907104 0
Wrong 1.0 0
Correct 0.9997732639312744 0
Correct 0.9999915957450867 0
Correct 0.9999943971633911 0
Correct 0.9999304413795471 0
Correct 0.999995768070221 0
Correct 0.9999955892562866 0
Correct 0.9999980330467224 0
Wrong 0.9999943971633911 0
Correct 1.0 0
Correct 1.0 0
Wrong 0.9999857544898987 0
Correct 0.9999935030937195 0
Correct 0.9999976754188538 0
Correct 0.999999463558197 0
Wrong 0.999998927116394 0
Correct 0.9999984502792358 0
Correct 0.885597288608551 0
Correct 0.9995216131210327 0
Correct 0.8474903702735901 0
Correct 0.8051130771636963 0
Wrong 0.9995046854019165 0
Correct 0.9964545369148254 0
Wrong 0.9999865889549255 0
Correct 0.9999174475669861 0
Wrong 1.0 0
Correct 0.9999996423721313 0
Wrong 0.9999998211860657 0
Correct 0.9995723962783813 0
Correct 0.9999999403953552 0
Correct 0.9999938011169434 0
Wrong 0.5850943922996521 1
Wrong 0.9999598860740662 0
Wrong 0.9756576418876648 0
Correct 0.9999830722808838 0
Wrong 1.0 0
Wrong 0.9999956488609314 0
Correct 0.9996984601020813 0
Wrong 0.9994374513626099 0
Wrong 0.9999998807907104 0
Correct 0.9999898076057434 0
Wrong 0.9999983906745911 0
Correct 0.9999954700469971 0
Correct 0.9999665021896362 0
Correct 0.9999925494194031 0
Correct 0.9999918341636658 0
Wrong 0.9999951720237732 0
Correct 0.9999996423721313 0
Wrong 0.961533784866333 0
Wrong 0.9997244477272034 0
Wrong 0.9996463656425476 0
Correct 0.9998806715011597 0
Wrong 0.9999986886978149 0
Correct 0.9999996423721313 0
Correct 0.9990255236625671 0
Correct 0.9334256649017334 0
Wrong 0.9999992847442627 0
Correct 0.9999932050704956 0
Correct 0.9999992847442627 0
Correct 1.0 0
Wrong 0.5156198143959045 1
Wrong 0.9721702337265015 0
Correct 0.999996542930603 0
Wrong 0.9994640946388245 0
Correct 0.9999962449073792 0
Correct 0.993421196937561 0
Wrong 0.9999731183052063 0
Wrong 0.9999901652336121 0
Correct 0.9999882578849792 0
Correct 0.9999997019767761 0
Correct 0.9999994039535522 0
Correct 0.999875009059906 0
Correct 1.0 0
Wrong 0.9999913573265076 0
Wrong 0.9695631265640259 0
Wrong 0.9959954619407654 0
Wrong 0.9892099499702454 0
Wrong 0.999986469745636 0
Correct 0.7340735197067261 0
Correct 0.9942644834518433 0
Wrong 0.9999991655349731 0
Wrong 0.9999992251396179 0
Wrong 0.6791085004806519 0
Correct 0.9999988079071045 0
Correct 0.9999784231185913 0
Correct 0.9999964237213135 0
Correct 0.9999998211860657 0
Wrong 0.8841556906700134 0
Correct 0.99894779920578 0
Correct 0.999997079372406 0
Correct 0.9999996423721313 0
Correct 1.0 0
Correct 0.999998927116394 0
Correct 0.9999998807907104 0
Wrong 0.9999772310256958 0
Wrong 1.0 0
Correct 0.9999998211860657 0
Wrong 0.9999999403953552 0
Correct 1.0 0
Correct 0.9999257922172546 0
Correct 0.9999950528144836 0
Correct 0.9999971389770508 0
Correct 0.9991916418075562 0
Correct 0.9997953176498413 0
Correct 0.9999998211860657 0
Correct 0.9999896287918091 0
Correct 0.9999921917915344 0
Wrong 0.9965529441833496 0
Correct 0.9999858736991882 0
Correct 0.9987046718597412 0
Wrong 0.7253668308258057 0
Wrong 0.9603607058525085 0
Correct 0.9999984502792358 0
Wrong 0.9995507001876831 0
Correct 0.6287519931793213 1
Wrong 0.9999974966049194 0
Wrong 0.9998576641082764 0
Wrong 0.9999934434890747 0
Wrong 0.6757419109344482 0
Correct 0.9999978542327881 0
Unparseable 0 4
Correct 0.9999964833259583 0
Correct 0.9999849796295166 0
Correct 1.0 0
Correct 0.99998539686203 0
Correct 0.9999741315841675 0
Correct 0.9999974966049194 0
Correct 0.9969056248664856 0
Correct 0.9999997615814209 0
Wrong 0.9999994039535522 0
Correct 0.9997512102127075 0
Correct 0.9999879598617554 0
Wrong 0.9978705644607544 0
Wrong 0.9999836683273315 0
Wrong 0.9921839833259583 0
Correct 0.6991341710090637 0
Correct 0.9999783635139465 0
Correct 1.0 0
Wrong 0.9999887347221375 0
Wrong 1.0 0
Correct 1.0 0
Correct 0.999992847442627 0
Wrong 0.9999998211860657 0
Correct 0.9552512168884277 0
Wrong 1.0 0
Correct 1.0 0
Correct 0.9999970197677612 0
Correct 1.0 0
Correct 0.9999995827674866 0
Correct 0.9999815225601196 0
Wrong 0.970136821269989 0
Wrong 0.9999781250953674 0
Correct 0.9998391270637512 0
Correct 0.9999884366989136 0
Wrong 0.9416210651397705 0
Correct 1.0 0
Wrong 0.9998602867126465 0
Correct 0.9988109469413757 0
Correct 0.9999999403953552 0
Wrong 0.9998928308486938 0
